Node	Similar	rank-distance
127354	127354	0.0
127354	246704	0.024588456377387047
127354	271843	0.030128931626677513
127354	219246	0.038362279534339905
127354	128545	0.04409894719719887
127354	75751	0.04537235572934151
127354	271792	0.05931244045495987
127354	219236	0.07532232254743576
127354	75665	0.0799584686756134
127354	75666	0.07995849847793579
127354	278925	0.0822334811091423
127354	136979	0.0823097750544548
127354	219048	0.08668287098407745
127354	219041	0.08668295294046402
127354	219106	0.10299812257289886
127354	75756	0.11125364899635315
127354	271841	0.11182186007499695
127354	75611	0.11310959607362747
127354	75613	0.11310960352420807
127354	75612	0.11310960352420807
215685	215685	0.0
215685	34442	0.0016481870552524924
215685	848	0.002536902204155922
215685	14936	0.0037978186737746
215685	1263	0.004031934309750795
215685	34547	0.005665705073624849
215685	34696	0.006086519919335842
215685	75583	0.006265840958803892
215685	218722	0.006290009710937738
215685	218725	0.008335280232131481
215685	841	0.009051492437720299
215685	812	0.018957853317260742
215685	212320	0.024367555975914
215685	218720	0.025133121758699417
215685	127422	0.027106495574116707
215685	663	0.027950894087553024
215685	218721	0.030137797817587852
215685	218732	0.030347775667905807
215685	846	0.030686328187584877
215685	137379	0.031914956867694855
218978	218978	0.0
218978	218959	0.00967490579932928
218978	14915	0.018320230767130852
218978	37166	0.03118760883808136
218978	14948	0.0331658199429512
218978	218924	0.0428769513964653
218978	218760	0.04521528258919716
218978	74019	0.06366360187530518
218978	14946	0.0691269040107727
218978	218920	0.07636789232492447
218978	218759	0.07749781757593155
218978	927	0.07795928418636322
218978	928	0.07795929908752441
218978	926	0.07795930653810501
218978	218791	0.08115682750940323
218978	18838	0.08371148258447647
218978	216551	0.08434254676103592
218978	218917	0.09854785352945328
218978	218968	0.10221245139837265
218978	74017	0.12092141807079315
581	581	0.0
581	580	0.0
581	646	0.0
581	650	0.0
581	644	0.0
581	643	0.0
581	662	0.0
581	1130	0.0
581	563	0.0
581	553	0.0
581	218674	0.0
581	219234	0.0
581	219247	0.0
581	642	0.0
581	585	0.0
581	566	0.0
581	570	0.0
581	560	0.0
581	559	0.0
581	564	0.0
651	651	0.0
651	35889	0.0003948956145904958
651	661	0.0014175237156450748
651	137530	0.0031307623721659184
651	137124	0.003486758330836892
651	273288	0.003785693785175681
651	135194	0.00536095118150115
651	352630	0.007279054261744022
651	135199	0.0074863070622086525
651	135200	0.007627055514603853
651	665	0.007726353593170643
651	128654	0.008146747015416622
651	218731	0.011807339265942574
651	135203	0.013441246002912521
651	135190	0.014402165077626705
651	135196	0.015683716163039207
651	137039	0.018184836953878403
651	137020	0.018565017729997635
651	75573	0.0186979528516531
651	34903	0.019373362883925438
216891	216891	0.0
216891	34884	0.000923310115467757
216891	36284	0.0010661253472790122
216891	34849	0.0030923436861485243
216891	34595	0.003254781709983945
216891	34615	0.003254781709983945
216891	216895	0.0034336489625275135
216891	36315	0.00446281349286437
216891	34509	0.004480517469346523
216891	34489	0.004480559378862381
216891	859	0.008534248918294907
216891	36297	0.008624556474387646
216891	34700	0.010750454850494862
216891	216885	0.010970594361424446
216891	216880	0.011338762938976288
216891	34467	0.012545100413262844
216891	34447	0.012545108795166016
216891	137383	0.01450711116194725
216891	137385	0.01450711116194725
216891	137384	0.014507152140140533
271953	271959	0.0
271953	271953	0.0
271953	271956	0.0
271953	271955	0.0
271953	271951	0.0
271953	271962	0.0
271953	271957	0.0
271953	271950	0.0
271953	271960	1.666000493116826e-08
271953	271963	3.161013495400766e-08
271953	271964	4.652886076428331e-08
271953	271952	4.7706993910878737e-08
271953	271961	4.8856723111612155e-08
271953	271939	0.16790466010570526
