Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	NCIH2087 LUNG	1/104	0.998639732606344	1.0	0	0	0.15672998558084136	0.0002133398215133684	SPRYD3
Cancer_Cell_Line_Encyclopedia	PATU8902 PANCREAS	1/104	0.998639732606344	1.0	0	0	0.15672998558084136	0.0002133398215133684	ITPK1
Cancer_Cell_Line_Encyclopedia	CCK81 LARGE INTESTINE	3/172	0.9986414780647715	1.0	0	0	0.28430090407687497	0.0003864916025358314	CCDC53;FAM3D;AK7
Cancer_Cell_Line_Encyclopedia	SNU81 LARGE INTESTINE	2/141	0.9986751850121136	1.0	0	0	0.23120451773627654	0.0003065062872854355	HEPH;DEGS2
Cancer_Cell_Line_Encyclopedia	EPLC272H LUNG	3/173	0.9987116446738072	1.0	0	0	0.28265754624984096	0.00036439814278028016	SERPINA1;IGHMBP2;ASB2
Cancer_Cell_Line_Encyclopedia	SKMEL30 SKIN	1/105	0.9987234413346558	1.0	0	0	0.15523731905149998	0.0001982961400937916	CYP2A7
Cancer_Cell_Line_Encyclopedia	SKNDZ AUTONOMIC GANGLIA	5/230	0.9987464078907828	1.0	0	0	0.3543460543566847	0.00044448407678463446	CHGA;EML5;NOTCH4;CBX2;SCN3B
Cancer_Cell_Line_Encyclopedia	BT483 BREAST	4/203	0.9987745289860586	1.0	0	0	0.3211806601065517	0.00039383895763101207	SLC25A29;RTN1;DEGS2;SERPINA5
Cancer_Cell_Line_Encyclopedia	KE37 HAEMATOPOIETIC AND LYMPHOID TISSUE	6/257	0.9987832676972258	1.0	0	0	0.3805428443674902	0.00046330068497826106	PREX2;BCL11B;GPR65;GRAP2;IGHMBP2;CYP46A1
Cancer_Cell_Line_Encyclopedia	SUDHL1 HAEMATOPOIETIC AND LYMPHOID TISSUE	9/332	0.9987962194347509	1.0	0	0	0.4418652605532153	0.0005322292210181613	GLUD1;SERPINA1;GPR65;GATAD1;KRIT1;DICER1;GRM1;ASB15;PRRC2A
Cancer_Cell_Line_Encyclopedia	NCIH23 LUNG	1/106	0.9988019909577648	1.0	0	0	0.15377281604158016	0.00018433166162614442	TPM3
Cancer_Cell_Line_Encyclopedia	JURKAT HAEMATOPOIETIC AND LYMPHOID TISSUE	5/231	0.9988046387420004	1.0	0	0	0.352812088753409	0.0004219901678768312	PREX2;SYCE2;BCL11B;GRAP2;RASGRP1
Cancer_Cell_Line_Encyclopedia	RPMI8402 HAEMATOPOIETIC AND LYMPHOID TISSUE	5/231	0.9988046387420004	1.0	0	0	0.352812088753409	0.0004219901678768312	PTPRD;SYCE2;BCL11B;GSC;GRAP2
Cancer_Cell_Line_Encyclopedia	JHH1 LIVER	3/175	0.998841468075072	1.0	0	0	0.27942717429270003	0.000323912970119466	SOX17;PAPOLA;AK7
Cancer_Cell_Line_Encyclopedia	OVCAR8 OVARY	1/107	0.9988756992414818	1.0	0	0	0.15233568691969626	0.00017136748070908936	SLC25A47
Cancer_Cell_Line_Encyclopedia	CAL851 BREAST	1/107	0.9988756992414818	1.0	0	0	0.15233568691969626	0.00017136748070908936	SERPINA3
Cancer_Cell_Line_Encyclopedia	JIMT1 BREAST	1/107	0.9988756992414818	1.0	0	0	0.15233568691969626	0.00017136748070908936	SLMAP
Cancer_Cell_Line_Encyclopedia	HS739T BREAST	1/107	0.9988756992414818	1.0	0	0	0.15233568691969626	0.00017136748070908936	GSC
Cancer_Cell_Line_Encyclopedia	LK2 LUNG	3/176	0.9989014691534764	1.0	0	0	0.2778395198933096	0.00030538305006381957	PTPRD;CBX2;LSAMP
Cancer_Cell_Line_Encyclopedia	SKMEL31 SKIN	3/176	0.9989014691534764	1.0	0	0	0.2778395198933096	0.00030538305006381957	SERPINA3;CYP2A7;PTPRZ1
Cancer_Cell_Line_Encyclopedia	NCIH1963 LUNG	9/335	0.9989358716878116	1.0	0	0	0.4379082582199029	0.00046623868862686777	CHGA;DTNA;RTN1;NETO1;GRM7;PDE1A;CACNA1A;SCN3B;MYOM2
Cancer_Cell_Line_Encyclopedia	YKG1 CENTRAL NERVOUS SYSTEM	1/108	0.9989448643130217	1.0	0	0	0.1509251713000694	0.0001593306067965041	LSAMP
Cancer_Cell_Line_Encyclopedia	HEC251 ENDOMETRIUM	1/108	0.9989448643130217	1.0	0	0	0.1509251713000694	0.0001593306067965041	SOX17
Cancer_Cell_Line_Encyclopedia	NCIH1435 LUNG	1/108	0.9989448643130217	1.0	0	0	0.1509251713000694	0.0001593306067965041	ROCK2
Cancer_Cell_Line_Encyclopedia	AZ521 STOMACH	2/145	0.9989463470351596	1.0	0	0	0.22482646207458615	0.00023701395550689854	PTPRZ1;LRP4
Cancer_Cell_Line_Encyclopedia	HS281T BREAST	1/109	0.9990097658860688	1.0	0	0	0.14954053670098622	0.00014815350629708622	FBLN5
Cancer_Cell_Line_Encyclopedia	RKN SOFT TISSUE	1/109	0.9990097658860688	1.0	0	0	0.14954053670098622	0.00014815350629708622	DNM1L
Cancer_Cell_Line_Encyclopedia	OUMS27 BONE	1/109	0.9990097658860688	1.0	0	0	0.14954053670098622	0.00014815350629708622	NETO1
Cancer_Cell_Line_Encyclopedia	MDAMB361 BREAST	1/109	0.9990097658860688	1.0	0	0	0.14954053670098622	0.00014815350629708622	CYP2A6
Cancer_Cell_Line_Encyclopedia	A253 SALIVARY GLAND	1/109	0.9990097658860688	1.0	0	0	0.14954053670098622	0.00014815350629708622	SLC24A4
Cancer_Cell_Line_Encyclopedia	HEC59 ENDOMETRIUM	4/208	0.9990463495938828	1.0	0	0	0.3134599711616827	0.0002990738574294993	PREX2;SLC25A29;SOX17;SLC25A47
Cancer_Cell_Line_Encyclopedia	HUH1 LIVER	5/236	0.9990584706330152	1.0	0	0	0.34533725636456564	0.0003252983313892915	SERPINA1;APOH;SERPINA10;SLC5A11;SERPINA6
Cancer_Cell_Line_Encyclopedia	HLE LIVER	2/147	0.9990605256128768	1.0	0	0	0.22176759864499995	0.00020844290754558746	FN3KRP;PAX2
Cancer_Cell_Line_Encyclopedia	HS742T BREAST	2/147	0.9990605256128768	1.0	0	0	0.22176759864499995	0.00020844290754558746	BDKRB1;FBLN5
Cancer_Cell_Line_Encyclopedia	SUDHL6 HAEMATOPOIETIC AND LYMPHOID TISSUE	8/314	0.9990806975608624	1.0	0	0	0.4152845477810828	0.0003819476873431456	FCRL1;TCL1A;AQP4;PRPF4B;SERPINA9;TLR6;ASB2;SH2B2
Cancer_Cell_Line_Encyclopedia	MM1S HAEMATOPOIETIC AND LYMPHOID TISSUE	4/209	0.9990931461326888	1.0	0	0	0.3119601626872248	0.0002830306330975107	RAB24;SMC1A;FAIM3;MYOM2
Cancer_Cell_Line_Encyclopedia	VMRCLCD LUNG	10/363	0.9990945507891908	1.0	0	0	0.4490335675043388	0.00040676126796061204	CHGA;TPH2;RPS6KL1;JPH3;APC;APOH;SERPINA10;CACNA1A;SERPINA6;APBB3
Cancer_Cell_Line_Encyclopedia	C3A LIVER	11/387	0.9991053070115266	1.0	0	0	0.4633051770141666	0.0004147014363072885	GLUD1;SERPINA3;AMN;SERPINA1;EXOC3L4;APOH;SERPINA10;SERPINA6;SLC25A47;DLK1;SERPINA5
Cancer_Cell_Line_Encyclopedia	KMS20 HAEMATOPOIETIC AND LYMPHOID TISSUE	3/180	0.999112379390294	1.0	0	0	0.27166530834012503	0.00024124280851524007	ARHGEF2;MYOM2;SH2B2
Cancer_Cell_Line_Encyclopedia	COLO818 SKIN	2/148	0.9991129268311104	1.0	0	0	0.22026916892442566	0.00019548158574572783	SERPINA3;PRIMA1
Cancer_Cell_Line_Encyclopedia	HGC27 STOMACH	2/148	0.9991129268311104	1.0	0	0	0.22026916892442566	0.00019548158574572783	EML5;CD207
Cancer_Cell_Line_Encyclopedia	HUH7 LIVER	7/290	0.9991241849339944	1.0	0	0	0.3934463086305258	0.00034473718982080915	SERPINA1;EXOC3L4;APOH;SERPINA10;SERPINA6;DLK1;SERPINA5
Cancer_Cell_Line_Encyclopedia	MDAMB435S SKIN	1/111	0.9991278129735331	1.0	0	0	0.14684611261628375	0.00012813316047735526	RNMT
Cancer_Cell_Line_Encyclopedia	OV90 OVARY	4/210	0.9991376900054766	1.0	0	0	0.310474638103	0.00026784088102046663	SLC46A1;GIF;APOH;AQP4
Cancer_Cell_Line_Encyclopedia	KIJK HAEMATOPOIETIC AND LYMPHOID TISSUE	7/291	0.999162119210066	1.0	0	0	0.39209425945997417	0.00032866595852755964	UTS2D;SERPINA1;RGS14;GPR68;GSC;GRM1;PIK3CG
Cancer_Cell_Line_Encyclopedia	SNU503 LARGE INTESTINE	2/149	0.9991624286851382	1.0	0	0	0.21879085235446305	0.00018332972846916783	JPH3;UGT1A8
Cancer_Cell_Line_Encyclopedia	CGTHW1 THYROID	1/112	0.9991814361051732	1.0	0	0	0.1455349866107812	0.00011917846972717495	KDR
Cancer_Cell_Line_Encyclopedia	MOGGCCM CENTRAL NERVOUS SYSTEM	1/112	0.9991814361051732	1.0	0	0	0.1455349866107812	0.00011917846972717495	BEGAIN
Cancer_Cell_Line_Encyclopedia	NUGC4 STOMACH	5/239	0.9991846471619722	1.0	0	0	0.3410024790880229	0.00027815075001649234	AMN;CATSPERB;SLC5A11;FAM3D;NUDT4
Cancer_Cell_Line_Encyclopedia	NCIH1623 LUNG	3/182	0.9992023344853044	1.0	0	0	0.2686799752814423	0.00021440227279357452	LRP4;OAZ3;BEGAIN
Cancer_Cell_Line_Encyclopedia	HUG1N STOMACH	3/182	0.9992023344853044	1.0	0	0	0.2686799752814423	0.00021440227279357452	FAM3D;UGT1A8;COQ5
Cancer_Cell_Line_Encyclopedia	KMH2 HAEMATOPOIETIC AND LYMPHOID TISSUE	9/342	0.9992035454127954	1.0	0	0	0.4289452236949341	0.00034177151188933587	SPIC;EML5;PPM1A;PSMD7;KCNK10;RGS14;TRAF3;GPR65;SERPINA6
Cancer_Cell_Line_Encyclopedia	HS172T URINARY TRACT	2/150	0.9992091892036752	1.0	0	0	0.21733224667210002	0.00017193668071359435	BDKRB2;BDKRB1
Cancer_Cell_Line_Encyclopedia	SNU1214 UPPER AERODIGESTIVE TRACT	5/240	0.9992229113738704	1.0	0	0	0.3395816354251562	0.0002639876107058743	KCNK10;PTPRZ1;PPP4R4;BDKRB2;BDKRB1
Cancer_Cell_Line_Encyclopedia	NUDHL1 HAEMATOPOIETIC AND LYMPHOID TISSUE	10/367	0.9992295279621672	1.0	0	0	0.4441394686759536	0.0003423289358903656	TCL1A;DOK3;GPR65;GRAP2;NOTCH4;KCNK13;CACNA1A;TLR6;ASB2;FAIM3
Cancer_Cell_Line_Encyclopedia	KURAMOCHI OVARY	5/241	0.9992594174024868	1.0	0	0	0.33817258299600617	0.00025053751323924413	SYT5;PTPRD;SOX17;APBB3;SERPINA5
Cancer_Cell_Line_Encyclopedia	NCIH2085 LUNG	1/114	0.9992789674693262	1.0	0	0	0.1429817412316447	0.00010313167183525351	C1QTNF7
